NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 34.593   Longitude 51.051, Qom, Navaran
Elevation (meters): Average for one degree lat/lon region = 1370   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1985 07 23    6.85
1985 07 24    6.93
1985 07 25    7.00
1985 07 26    6.32
1985 07 27    7.12
1985 07 28    7.82
1985 07 29    7.33
1985 07 30    6.38
1985 07 31    6.40
1985 08 01    6.91
1985 08 02    6.30
1985 08 03    6.64
1985 08 04    6.87
1985 08 05    6.57
1985 08 06    8.04
1985 08 07    7.68
1985 08 08    7.17
1985 08 09    5.75
1985 08 10    5.86
1985 08 11    6.62
1985 08 12    6.51
1985 08 13    6.76
1985 08 14    6.99
1985 08 15    6.73
1985 08 16    6.35
1985 08 17    6.22
1985 08 18    5.76
1985 08 19    6.19
1985 08 20    6.03
1985 08 21    5.84
1985 08 22    5.95
1985 08 23    6.17
1985 08 24    6.18
1985 08 25    6.01
1985 08 26    5.77
1985 08 27    5.77
1985 08 28    6.01
1985 08 29    6.84
1985 08 30    5.88
1985 08 31    6.64
1985 09 01    6.73
1985 09 02    6.63
1985 09 03    5.49
1985 09 04    6.14
1985 09 05    6.12
1985 09 06    5.63
1985 09 07    6.12
1985 09 08    5.38
1985 09 09    5.88
1985 09 10    5.13
1985 09 11    5.64
1985 09 12    5.47
1985 09 13    5.26
1985 09 14    5.28
1985 09 15    5.58
1985 09 16    4.94
1985 09 17    5.25
1985 09 18    4.88
1985 09 19    5.14
1985 09 20    4.68
1985 09 21    5.12
1985 09 22    4.63
1985 09 23    4.61
1985 09 24    4.81
1985 09 25    4.37
1985 09 26    4.58
1985 09 27    4.53
1985 09 28    4.52
1985 09 29    4.50
1985 09 30    4.27
1985 10 01    4.63
1985 10 02    4.29
1985 10 03    4.83
1985 10 04    4.79
1985 10 05    5.23
1985 10 06    4.80
1985 10 07    4.65
1985 10 08    5.13
1985 10 09    4.96
1985 10 10    3.62
1985 10 11    4.39
1985 10 12    4.46
1985 10 13    4.27
1985 10 14    4.52
1985 10 15    4.46
1985 10 16    4.86
1985 10 17    4.31
1985 10 18    4.32
1985 10 19    4.58
1985 10 20    3.65
1985 10 21    3.77
1985 10 22    4.06
1985 10 23    4.09
1985 10 24    3.60
1985 10 25    3.66
1985 10 26    1.99
1985 10 27    3.29
1985 10 28    2.38
1985 10 29    3.95
1985 10 30    3.84
1985 10 31    3.56
1985 11 01    3.51
1985 11 02    2.98
1985 11 03    2.78
1985 11 04    3.12
1985 11 05    1.70
1985 11 06    3.13
1985 11 07    3.07
1985 11 08    3.58
1985 11 09    3.51
1985 11 10    2.41
1985 11 11    1.36
1985 11 12    2.75
1985 11 13    2.89
1985 11 14    3.21
1985 11 15    3.85
1985 11 16    4.09
1985 11 17    4.04
1985 11 18    3.44
1985 11 19    2.50
1985 11 20    1.84
1985 11 21    3.22
1985 11 22    3.90
1985 11 23    3.82
1985 11 24    3.49
1985 11 25    3.11
1985 11 26    1.40
1985 11 27    2.28
1985 11 28    3.60
1985 11 29    3.61
1985 11 30    2.96
1985 12 01    1.82
1985 12 02    3.48
1985 12 03    3.52
1985 12 04    1.41
1985 12 05    2.19
1985 12 06    3.25
1985 12 07    3.46
1985 12 08    3.32
1985 12 09    3.55
1985 12 10    3.58
1985 12 11    2.53
1985 12 12    2.68
1985 12 13    2.61
1985 12 14    2.00
1985 12 15    2.57
1985 12 16    2.26
1985 12 17    3.17
1985 12 18    1.02
1985 12 19    0.97
1985 12 20    2.95
1985 12 21    3.34
1985 12 22    2.95
1985 12 23    2.00
1985 12 24    3.43
1985 12 25    3.13
1985 12 26    3.11
1985 12 27    2.87
1985 12 28    3.58
1985 12 29    1.70
1985 12 30    3.33
1985 12 31    3.71
1986 01 01    3.38
1986 01 02    3.12
1986 01 03    1.91
1986 01 04    2.71
1986 01 05    3.59
1986 01 06    3.62
1986 01 07    3.62
1986 01 08    3.68
1986 01 09    3.58
1986 01 10    3.63
1986 01 11    3.53
1986 01 12    1.55
1986 01 13    3.58
1986 01 14    3.86
1986 01 15    2.72
1986 01 16    3.79
1986 01 17    4.03
1986 01 18    4.03
1986 01 19    3.74
1986 01 20    2.39
1986 01 21    3.90
1986 01 22    3.87
1986 01 23    2.12
1986 01 24    4.06
