NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 36.076   Longitude 49.627 Ghazvin, Takestan
Elevation (meters): Average for one degree lat/lon region = 1316   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1986 03 22    4.46
1986 03 23    3.46
1986 03 24    2.21
1986 03 25    3.17
1986 03 26    4.51
1986 03 27    6.48
1986 03 28    6.75
1986 03 29    6.88
1986 03 30    5.24
1986 03 31    1.63
1986 04 01    4.64
1986 04 02    5.51
1986 04 03    5.26
1986 04 04    5.77
1986 04 05    3.46
1986 04 06    4.36
1986 04 07    4.79
1986 04 08    3.58
1986 04 09    2.58
1986 04 10    3.21
1986 04 11    4.30
1986 04 12    5.76
1986 04 13    4.57
1986 04 14    5.19
1986 04 15    4.54
1986 04 16    4.21
1986 04 17    5.43
1986 04 18    5.07
1986 04 19    2.28
1986 04 20    5.52
1986 04 21    3.69
1986 04 22    3.08
1986 04 23    1.99
1986 04 24    5.81
1986 04 25    4.89
1986 04 26    4.81
1986 04 27    4.58
1986 04 28    5.93
1986 04 29    5.13
1986 04 30    4.70
1986 05 01    4.30
1986 05 02    2.50
1986 05 03    3.99
1986 05 04    4.05
1986 05 05    4.39
1986 05 06    5.67
1986 05 07    6.37
1986 05 08    5.11
1986 05 09    4.83
1986 05 10    4.24
1986 05 11    6.02
1986 05 12    4.16
1986 05 13    4.86
1986 05 14    6.09
1986 05 15    5.29
1986 05 16    6.24
1986 05 17    5.95
1986 05 18    6.35
1986 05 19    7.32
1986 05 20    6.91
1986 05 21    3.73
1986 05 22    5.22
1986 05 23    7.98
1986 05 24    5.44
1986 05 25    6.66
1986 05 26    7.13
1986 05 27    7.21
1986 05 28    6.89
1986 05 29    5.34
1986 05 30    6.82
1986 05 31    6.71
1986 06 01    6.90
1986 06 02    6.47
1986 06 03    7.03
1986 06 04    6.40
1986 06 05    6.37
1986 06 06    6.40
1986 06 07    5.54
1986 06 08    6.22
1986 06 09    6.52
1986 06 10    4.83
1986 06 11    7.86
1986 06 12    6.11
1986 06 13    6.60
1986 06 14    7.29
1986 06 15    7.58
1986 06 16    5.66
1986 06 17    7.06
1986 06 18    5.98
1986 06 19    5.53
1986 06 20    6.20
1986 06 21    6.95
1986 06 22    8.15
1986 06 23    8.34
1986 06 24    8.81
1986 06 25    7.96
1986 06 26    7.48
1986 06 27    7.47
1986 06 28    7.86
1986 06 29    7.38
1986 06 30    8.05
1986 07 01    7.69
1986 07 02    7.45
1986 07 03    7.43
1986 07 04    7.12
1986 07 05    7.11
1986 07 06    7.28
1986 07 07    7.60
1986 07 08    7.75
1986 07 09    7.10
1986 07 10    7.16
1986 07 11    6.93
1986 07 12    6.96
1986 07 13    7.90
1986 07 14    8.08
1986 07 15    6.91
1986 07 16    6.56
1986 07 17    5.80
1986 07 18    6.57
1986 07 19    6.86
1986 07 20    6.80
1986 07 21    6.69
1986 07 22    7.71
1986 07 23    6.85
1986 07 24    7.15
1986 07 25    5.56
1986 07 26    6.11
1986 07 27    6.99
1986 07 28    6.53
1986 07 29    6.35
1986 07 30    6.26
1986 07 31    5.77
1986 08 01    6.30
1986 08 02    6.64
1986 08 03    5.95
1986 08 04    6.09
1986 08 05    6.69
1986 08 06    6.85
1986 08 07    6.15
1986 08 08    6.17
1986 08 09    6.10
1986 08 10    6.48
1986 08 11    6.95
1986 08 12    6.37
1986 08 13    7.53
1986 08 14    6.68
1986 08 15    5.38
1986 08 16    5.57
1986 08 17    6.34
1986 08 18    5.49
1986 08 19    5.45
1986 08 20    5.56
1986 08 21    5.11
1986 08 22    4.50
1986 08 23    5.70
1986 08 24    4.20
1986 08 25    5.98
1986 08 26    5.89
1986 08 27    5.47
1986 08 28    5.49
1986 08 29    5.46
1986 08 30    5.51
1986 08 31    5.61
1986 09 01    6.66
1986 09 02    6.85
1986 09 03    6.22
1986 09 04    6.22
1986 09 05    6.04
1986 09 06    6.03
1986 09 07    5.62
1986 09 08    5.69
1986 09 09    5.69
1986 09 10    5.82
1986 09 11    5.76
1986 09 12    6.49
1986 09 13    5.46
